Track Name,Artist(s),Album,Release Date,Track URI,Round Name
Juke Box Hero,Foreigner,4 (Expanded),1981,spotify:track:00qOE7OjRl0BpYiCiweZB2,Recent Favorites
Gollum's Song,Emilíana Torrini,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),2002-12-02,spotify:track:0mQ1btcyqFDvTpaCFs04cR,Recent Favorites
High Life,"Arne Domnérus, Georg Riedel, Bengt Hallberg, Lars Erstrand, Egil Johansen",Jazz at the Pawnshop,1977,spotify:track:0qjzHS9PqOhgnF9amwaZ5m,Recent Favorites
Back On 74,Jungle,Volcano,2023-08-11,spotify:track:19kHhX6f6EfLU7rcO3RqjO,Recent Favorites
you'd never know,BLÜ EYES,you'd never know,2022-09-16,spotify:track:1I2zZtHCrBkoTgfwxnNKZ9,Recent Favorites
Ellipse,Oh Hiroshima,In Silence We Yearn,2015-11-06,spotify:track:1ipAB0J5JVEY0nrMH8TBGJ,Recent Favorites
HOUSE ON SAND (feat. Eric V. of I Prevail),"NOTHING MORE, Eric Vanlerberghe, I Prevail",HOUSE ON SAND (feat. Eric V. of I Prevail),2024-04-12,spotify:track:1iv0Expr4TzDnx62w60oqN,Recent Favorites
act viii: i hate to be alone,4batz,u made me a st4r,2024-05-03,spotify:track:1jIu9uVVYaP3x09HLjikQ3,Recent Favorites
Miss Me Too,Griff,Miss Me Too,2024-02-28,spotify:track:1sfg5AQ5NFecKm6GO7dkdo,Recent Favorites
"One Call, That's All",Dent May,What's For Breakfast?,2024-03-29,spotify:track:27p3tsRQ8EWPHkK48D4GQf,Recent Favorites
Hey Ma,"Cam'ron, Juelz Santana, Freekey Zeekey, Toya",Come Home With Me,2002-01-01,spotify:track:2fE1hcjUxlLxXrZusTEJlq,Recent Favorites
Authority Song,John Mellencamp,Uh-HUH!,1983,spotify:track:38Lf9Im0jQhAaKx8ehQM1S,Recent Favorites
