Track Name,Artist(s),Album,Release Date,Track URI,Round Name
Run Away With Me,Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),2015,spotify:track:0FS7B5o3QyvOD8eWjnbLoO,Driving in the Dark
Midnight Driving,Teenage Dads,Midnight Driving,2023-03-03,spotify:track:0O5BTCiNRC47cLA4i7VusN,Driving in the Dark
In the Backseat,Arcade Fire,Funeral,2004-06-16,spotify:track:0O8Ymlu03OqEX5XU5p8Rw3,Driving in the Dark
The Night We Met,Lord Huron,Strange Trails,2015-04-07,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,Driving in the Dark
Redbone,Childish Gambino,"""Awaken, My Love!""",2016-12-02,spotify:track:0WtDGnWL2KrMCk0mI1Gpwz,Driving in the Dark
Echoes,God Is An Astronaut,God Is an Astronaut (2011 Remastered Edition),2011-12-16,spotify:track:1ByMzOtB8qLyZM2xDfhEMK,Driving in the Dark
Midnight City,M83,"Hurry Up, We're Dreaming",2011,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,Driving in the Dark
Weight in Gold,Gallant,Ology,2016-05-04,spotify:track:1gXBi2I04CLJkTQnhNfEJT,Driving in the Dark
Goin' Against Your Mind,Built To Spill,You in Reverse,2006-04-10,spotify:track:1rxz8AseGxCsYQDHyg4scv,Driving in the Dark
What Once Was,Her's,Songs of Her's,2017-05-12,spotify:track:1XrSjpNe49IiygZfzb74pk,Driving in the Dark
Night Shift,Lucy Dacus,Historian,2018-03-02,spotify:track:1yYlpGuBiRRf33e1gY61bN,Driving in the Dark
Tiny Foldable Cities,Orbital,Monsters Exist (Deluxe),2018-09-14,spotify:track:1zBsc3zoU1jvy1dfQzFIOC,Driving in the Dark
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Driving in the Dark
How I Get Myself Killed,Indigo De Souza,I Love My Mom,2018-06-08,spotify:track:2Kj95VOpBEJzBFNzwirZwU,Driving in the Dark
Thriller,Michael Jackson,Thriller,1982-11-30,spotify:track:2LlQb7Uoj1kKyGhlkBf9aC,Driving in the Dark
Do It Again,Steely Dan,Can't Buy A Thrill,1972-11-01,spotify:track:2LXISHBkx8FyoxCBkckh19,Driving in the Dark
Slide,"H.E.R., YG",Slide,2019-09-27,spotify:track:2rTnVB1bvwxHtaIl4uVu7f,Driving in the Dark
Low Place Like Home,Sneaker Pimps,Becoming X,1996-08-18,spotify:track:2vzBdrNR58hYA2exmt4bG6,Driving in the Dark
I Will Follow You into the Dark,Death Cab for Cutie,Plans,2005-08-29,spotify:track:3kZC0ZmFWrEHdUCmUqlvgZ,Driving in the Dark
Drive,The Cars,Heartbeat City,1984-03-13,spotify:track:3wfujdbamR3Z46F4xav7LM,Driving in the Dark
Nice Weather for Ducks,Lemon Jelly,Lost Horizons,2003-07-21,spotify:track:3z24ayp6vSCkN6btftwyet,Driving in the Dark
Find Our Way - Night Drive Edit,"Midnight Kids, klei",Find Our Way (Remixes),2019-01-25,spotify:track:49rrPHxp0944ZLgAi7XfY8,Driving in the Dark
Stars In My Eyes,Ball Park Music,Weirder & Weirder,2022-05-27,spotify:track:4HijdD89b0q3Z0zWKL7FVo,Driving in the Dark
Stobart's Blues,I Monster,Neveroddoreven,2005-01-27,spotify:track:4N01iMNxCg1BSFyoyqj2tz,Driving in the Dark
Los Angeles,"Robotaki, Maiah Manser",The Grand Mirage,2020-03-27,spotify:track:5DfHG17Xoqn08NP8SINsiP,Driving in the Dark
Life is a Highway,Rascal Flatts,Cars (Original Motion Picture Soundtrack),2006-01-01,spotify:track:5gB2IrxOCX2j9bMnHKP38i,Driving in the Dark
Fumes,"EDEN, gnash",i think you think too much of me,2016-08-19,spotify:track:7fJALFBexDXzu0QdatF5O4,Driving in the Dark
Starboy,"The Weeknd, Daft Punk",Starboy,2016-11-25,spotify:track:7MXVkk9YMctZqd1Srtv4MB,Driving in the Dark
Right Back Where We Started From,Maxine Nightingale,Right Back Where We Started From,2019-06-14,spotify:track:00s8dO3RWrFkBqC9JIy6ag,Road Trip!
What's Up?,4 Non Blondes,"Bigger, Better, Faster, More !",1992-01-01,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,Road Trip!
Untouched,The Veronicas,Hook Me Up,2007-10-30,spotify:track:0KlahhzNb98zyN83Vwae0l,Road Trip!
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),1977-02-04,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Road Trip!
The Passenger,Iggy Pop,Lust For Life,1977-08-29,spotify:track:15BQ7vEDv2LJuh8TxWIhtd,Road Trip!
"Take Me Home, Country Roads",John Denver,"The John Denver Collection, Vol 1: Take Me Home Country Roads",1997-06-17,spotify:track:1QbOvACeYanja5pbnJbAmk,Road Trip!
You! Me! Dancing!,Los Campesinos!,"Hold On Now, Youngster",2008-04-01,spotify:track:1t0RvoSeybgrk55g9lwC4Z,Road Trip!
Earth Rocker,Clutch,Earth Rocker,2013-03-19,spotify:track:26vGXL80873wfoGhBGpFSn,Road Trip!
Daydream,The Aces,Under My Influence,2020-07-17,spotify:track:26ZCR1Zd74fvBJvH1o1rbx,Road Trip!
Little Talks,Of Monsters and Men,My Head Is An Animal,2012-01-01,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,Road Trip!
Twilight Driving,Methyl Ethel,Oh Inhuman Spectacle,2015-06-05,spotify:track:2m1rzgZJtee2j5WjfwgSNc,Road Trip!
Ride,Twenty One Pilots,Blurryface,2015-05-15,spotify:track:2Z8WuEywRWYTKe1NybPQEW,Road Trip!
Carolina Rolling By,Mipso,Carolina Rolling By,2023-06-09,spotify:track:3KPbfMIQy43Wc9XbhmaIFy,Road Trip!
One Of Us Is The Killer,The Dillinger Escape Plan,One Of Us Is The Killer,2013-05-14,spotify:track:3kRf43EgjlDAGt2TQ7M459,Road Trip!
Walk of Life,Dire Straits,Brothers in Arms,1985-05-13,spotify:track:423o3ZHIaBtGXyhF1uH41a,Road Trip!
Semi-Charmed Life,Third Eye Blind,Third Eye Blind,1997-04-08,spotify:track:42et6fnHCw1HIPSrdPprMl,Road Trip!
Radar Love,Golden Earring,The Long Versions - Part One,2008-10-22,spotify:track:4Zau4QvgyxWiWQ5KQrwL43,Road Trip!
Watercolour - Full Version; Single,Pendulum,Immersion,2010-05-21,spotify:track:5ami95W9OOWQPwrBb5tud5,Road Trip!
Life is a Highway,Rascal Flatts,Cars (Original Motion Picture Soundtrack),2006-01-01,spotify:track:5gB2IrxOCX2j9bMnHKP38i,Road Trip!
Road to Nowhere,Talking Heads,Little Creatures,1985-07-10,spotify:track:5gS8whHdcpbkdz0qonQZF8,Road Trip!
Feels Great (feat. Fetty Wap & CVBZ),"Cheat Codes, Fetty Wap, CVBZ",Feels Great (feat. Fetty Wap & CVBZ),2017-10-12,spotify:track:5uu28fUesZMl89lf9CLrgN,Road Trip!
Go!,Public Service Broadcasting,The Race For Space,2014,spotify:track:5xYZXIgVAND5sWjN8G0hID,Road Trip!
Life in the Fast Lane - 2013 Remaster,Eagles,Hotel California (2013 Remaster),1976-12-08,spotify:track:6gXrEUzibufX9xYPk3HD5p,Road Trip!
Bohemian Rhapsody,Queen,Stone Cold Classics,2006-01-01,spotify:track:6l8GvAyoUZwWDgF1e4822w,Road Trip!
Low Rider,War,Why Can't We Be Friends?,1975-01-01,spotify:track:7Bz8yww6UMbTgTVLG6zbI4,Road Trip!
Sweet Home Alabama,Lynyrd Skynyrd,Second Helping (Expanded Edition),1974-04-15,spotify:track:7e89621JPkKaeDSTQ3avtg,Road Trip!
Rosetta Stoned,TOOL,"10,000 Days",2006-04-28,spotify:track:0D8l86LXxKcgKAO17DfQsl,Alien Party
Emergency,"Sofi Tukker, Novak, YAX.X",Emergency,2020-09-18,spotify:track:0iQd47VJs14l8EA00PlI71,Alien Party
Life On Mars?,Seu Jorge,The Life Aquatic Exclusive Studio Sessions Featuring Seu Jorge,2005-01-01,spotify:track:0KpA8R3NM3N0JB4NAGbAxO,Alien Party
