Track Name,Artist(s),Album,Release Date,Track URI
Over the Rainbow,Israel Kamakawiwo'ole,Alone In Iz World,2001-09-25,spotify:track:3oQomOPRNQ5NVFUmLJHbAV
My Way,Frank Sinatra,My Way (Expanded Edition),1969-03,spotify:track:3spdoTYpuCpmq19tuD0bOe
God Bless America,"Charles Bradley, Menahan Street Band, the Gospel Queens",Changes,2016-04-01,spotify:track:41Od0k8dsUKEyZZLmVPEul
Hellfire,Jonathan Young,VILLAINS,2019-01-01,spotify:track:4Ajar7wvwmo0GabVdZnmrF
Prototype,DRAM,Prototype,2018-08-17,spotify:track:4DuGrfVFyg9q0oBkcjjGo8
I Will Always Love You,Whitney Houston,The Bodyguard - Original Soundtrack Album,1992-11-17,spotify:track:4eHbdreAnSOrDDsFfc4Fpm
Never Let You Go,"RAC, Matthew Koma, Hilary Duff",Never Let You Go,2020-02-12,spotify:track:4ioTh5Nrk0Vp8X3u1tHhob
How I Could Just Kill a Man,Rage Against The Machine,Renegades,2000-12-05,spotify:track:4K1DB7EedHPuVnhVrnvf2U
Beat It,"Fall Out Boy, John Mayer",Believers Never Die - Greatest Hits,2009-01-01,spotify:track:4OMsAnt8JSBctSJQIMNAy1
Sweet Dreams Seven Nation Army Mashup,"Pomplamoose, Sarah Dugas",Sweet Dreams Seven Nation Army Mashup,2019-09-19,spotify:track:4qLaxJOMGv9DyxuayDw60n
Hotel California (Spanish Mix),Gipsy Kings,!Volare! The Very Best of the Gipsy Kings,2000-09-05,spotify:track:4Rvhe8O90hFIExTJkdrRPM
I Will Survive,CAKE,Fashion Nugget,1996-09-17,spotify:track:4THrHKyBL0yaDDw9yg37Zk
Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,1983-10-14,spotify:track:4y1LsJpmMti1PfRQV9AWWe
Chemtrails Over The Country Club - triple j Like A Version,Hayley Mary,Chemtrails Over The Country Club (triple j Like A Version),2021-03-26,spotify:track:54HGjwjSYzZKHYxIMcix7X
Tainted Love,Soft Cell,Non-Stop Erotic Cabaret,1981,spotify:track:58E1XVmZTODC67YNjneuXM
Fireflies - triple j Like A Version,Great Gable,Fireflies (triple j Like A Version),2022-07-01,spotify:track:6lor0TrU7UtjUerVWQkeoI
Believe (triple j Like A Version) - Cover Version,DMA'S,Believe (triple j Like A Version) [Cover Version],2017-04-24,spotify:track:76aAaIv5bS8HQJVJ1cc8Ge
House Of The Rising Sun,The Animals,The Animals,1964-01-01,spotify:track:7BY005dacJkbO6EPiOh2wb
Generator,Turnstile,Time & Space,2018-02-23,spotify:track:04vAjpZ2ppNIFcxq9bqj39
Throne,Bring Me The Horizon,That's The Spirit,2015-09-11,spotify:track:0M3adYbGtyRHACP86dey1H
Can You Feel My Heart,Bring Me The Horizon,Sempiternal (Expanded Edition),2013-04-01,spotify:track:0WSa1sucoNRcEeULlZVQXj
Colossus,Avatar,Hunter Gatherer,2020-08-07,spotify:track:1LSG1nQTeBVxofK8lQnJny
Higher,Creed,Human Clay,1999-01-01,spotify:track:1ZozJfi8u9cO2Ob8KwiwNT
Don't Stay,Linkin Park,Meteora (Bonus Edition),2003-09-16,spotify:track:27gUeiai56GKF6TxvmPJut
POWER,Kanye West,My Beautiful Dark Twisted Fantasy,2010-11-22,spotify:track:2gZUPNdnz5Y45eiGxpHGSc
Icky Thump,The White Stripes,Icky Thump,2007-06-15,spotify:track:2LMq1O0NiqGhPOlXo3McYQ
Jose & Mark,"The Unauthorized Bash Brothers Experience, The Lonely Island",The Unauthorized Bash Brothers Experience,2019-05-23,spotify:track:3e7HpTiU7ZMAr8Jih0nRPp
Neutrogena Spektor,Origami Angel,GAMI GANG,2021-04-30,spotify:track:3GcKWwmUxDteNfraOC8A8g
Enter Sandman (Remastered),Metallica,Metallica (Remastered),1991-08-12,spotify:track:3VqHuw0wFlIHcIPWkhIbdQ
Circus Music,The Hit Crew,Drew's Famous Presents Carnival Games Party Music,2016-01-01,spotify:track:3xkA8ENdlyrjmMWMGXQwGN
Crack A Bottle,"Eminem, Dr. Dre, 50 Cent",Relapse: Refill,2009-05-15,spotify:track:4dK00wCxlqWEeN8BoM1BHT
Take a Walk,Passion Pit,Gossamer,2012-07-23,spotify:track:4Sfa7hdVkqlM8UW5LsSY3F
Narco,"Blasterjaxx, Timmy Trumpet",Narco,2017-11-13,spotify:track:4TuNI3WEMyLQAKRMJmcQdA
...To Be Loved,Papa Roach,The Paramour Sessions,2006-01-01,spotify:track:4yUUVfwvxtMecOQ2fI7a7j
Ante Up (Robbin Hoodz Theory),M.O.P.,Warriorz,2000-08-29,spotify:track:550JPXXPgjr1xqxtKIaX6b
Hero,Weezer,Van Weezer,2021-05-07,spotify:track:5AprQMAX0PtpG923NUgZN6
Busy Earnin',Jungle,Jungle,2014-07-15,spotify:track:5TloYFwzd09yWy8xkRLVUu
"So Fresh, So Clean",Outkast,Stankonia,2000-10-31,spotify:track:6glsMWIMIxQ4BedzLqGVi4
Jump Around,House Of Pain,House of Pain (Fine Malt Lyrics),1992-07-21,spotify:track:6JymsaWDHk2Yj4e0yNBIFH
Godzilla,Blue Öyster Cult,Spectres,1977,spotify:track:6N0AnkdDFZUetw8KAGHV7e
Remember the Name (feat. Styles of Beyond),"Fort Minor, Styles Of Beyond",The Rising Tied,2005-11-21,spotify:track:6ndmKwWqMozN2tcZqzCX4K
Snookered,Dan Deacon,Bromst,2009-03-24,spotify:track:6rqxDx2AyWQYgT3zuAPQVU
Gay Bar,Electric Six,Fire,2003-05-19,spotify:track:7G5xEOORkAAUhx6wjTRb26
Allumer le feu,Johnny Hallyday,Légende - Best Of 40 titres,2022-11-25,spotify:track:7lCtCMAFCpjbC5VKVxfr1b
Metalingus (Edge's WWE Theme),"It Lives, It Breathes",Metalingus (Edge's WWE Theme),2018-04-02,spotify:track:7oMA3qs18aC69Cr4k6EAyn
Legend Has It,"Run The Jewels, El-P, Killer Mike",Run The Jewels 3,2016-12-25,spotify:track:7satW8tFLasyZbftvrWFBP
