Track Name,Artist(s),Album,Release Date,Track URI
Brothers In Arms,Junkie XL,Mad Max: Fury Road (Original Motion Picture Soundtrack),2015-05-12,spotify:track:0rljrAA4HuyJxO5Y4ksY4S
Rooster (2022 Remaster),Alice In Chains,Dirt (2022 Remaster),1992-09-29,spotify:track:0wvIGFIgbyz4JNwQhZgTv2
Gamma Knife,King Gizzard & The Lizard Wizard,Nonagon Infinity,2016-04-29,spotify:track:0yxzfsmzMOCRhbHBpFjXzL
Hit 'Em Up - Single Version,"2Pac, Outlawz",Greatest Hits,1998-01-01,spotify:track:0Z2J91b2iTGLVTZC4fKgxf
Change Your Life (You Can Do It),Dan Deacon,Change Your Life (You Can Do It),2016-09-07,spotify:track:17MXoU0jFQnhpf05xqDc8P
"Blockbuster Night, Pt. 1","Run The Jewels, El-P, Killer Mike",Run the Jewels 2,2014-10-27,spotify:track:1AESnzWt4iMrEPGG7TjXAa
Headstrong,Trapt,Trapt,2002-11-05,spotify:track:1AEYT6VxrxXPMoQUxsY0E4
X Gon' Give It To Ya,DMX,The Best Of DMX,2010-01-26,spotify:track:1FgeteSBYT80nWH1edeiMe
Cafo,Animals As Leaders,Animals as Leaders,2009-04-28,spotify:track:1ZfnGTUnha3QHj3KFmub0W
Tubthumping,Chumbawamba,Tubthumper,1997-09-01,spotify:track:22HYEJveCvykVDHDiEEmjZ
Kung Fu Fighting,Carl Douglas,The Soul of the Kung Fu Fighter,2001,spotify:track:40NRm1ZLvZpUSCUXAGGZ8J
Cigaro,System Of A Down,Mezmerize,2005-05-17,spotify:track:47EqCQZG5v4o0WFMufGf5S
Ladies And Gentlemen,Saliva,Blood Stained Love Story,2007-01-01,spotify:track:48ncRBVLgiu8MY7O70VVw5
Never Fight A Man With A Perm,IDLES,Joy as an Act of Resistance.,2018-08-31,spotify:track:4B4CQ84BBpHK5d02cWKUb0
David De La Hoz,The Chariot,Long Live,2010-11-22,spotify:track:4K2dhclnoO8NlFFiwCrG4p
Free Bird,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,1973-01-01,spotify:track:5EWPGh7jbTNO2wakv8LjUI
Rasputin,Boney M.,Daddy Cool,1994-03-14,spotify:track:5lWSa1rmuSL6OBPOnkAqoa
You're Going Down,Sick Puppies,Tri-polar,2010-01-01,spotify:track:5omWAB5iNMHvbAfBSzkdu8
Fight Dirty,"Guignol, Mischief Brew",Fight Dirty,2010-04-13,spotify:track:5S9fViU9VoQiT6ZX347RhJ
Damn! (feat. Lil' Jon) - Club Mix,"Youngbloodz, Lil Jon",Drankin' Patnaz,2003-07-25,spotify:track:5TpaWJKnuyA4MjzAbFXSTQ
Bushes of Love,Bad Lip Reading,Bushes of Love,2015-12-18,spotify:track:75LOt4i3Xlmpu8bFu4kdUR
Get Got,Death Grips,The Money Store,2012-04-23,spotify:track:781V2Y5LPtcpgONEOadadE
"Gonna Fly Now - Theme From ""Rocky""",Bill Conti,Rocky (Original Motion Picture Score),1976-10-14,spotify:track:7iXYRR70wewzVYzWScm99j
Jaguar God,Mastodon,Emperor of Sand,2017-03-31,spotify:track:7lGOFEVWK0jzpLMFuR4ANh
